Brand,Product Name,Category,Ingredient Details,Ingredient Types,Is Harmful?,Reason for Harmful,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternative,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacturing,Expiration Detail
Freschetta,Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Pepperoni, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,12,USA,3 months from production
Screamin' Sicilian,Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Pepperoni, Sausage, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Sausage, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,13,USA,3 months from production
Totino's,Pizza Rolls,Appetizers,"Enriched Flour, Water, Tomato Puree (Tomatoes, Tomato Paste, Salt, Citric Acid), Mozzarella Cheese (Part Skim Milk, Cheese Cultures, Salt, Enzymes), Meat (Pork, Beef), Vegetable Oil (Soybean, Canola), Spices, Onion Powder, Garlic Powder","Enriched Flour, Water, Tomato Puree, Mozzarella Cheese, Meat, Vegetable Oil, Spices",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making mini pizzas with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,11,USA,6 months from production
Generic,Frozen Mixed Vegetables,Vegetables,"Mixed Vegetables (Carrots, Peas, Green Beans, Corn), Water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Vitamins, Minerals, Fiber",Fresh Mixed Vegetables,Steaming or stirNot Applicablefrying fresh mixed vegetables,Yes,0,2,USA,1 year from production
Generic,Frozen Spinach,Vegetables,"Spinach, Water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Iron, Vitamin K, Folate",Fresh Spinach,Steaming or sautéing fresh spinach,Yes,0,2,USA,1 year from production
Generic,Frozen Cauliflower Florets,Vegetables,"Cauliflower Florets, Water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Vitamin C, Vitamin K",Fresh Cauliflower,Steaming or roasting fresh cauliflower florets,Yes,0,2,USA,1 year from production
Generic,Frozen French Fries,Potato Products,"Potatoes, Vegetable Oil (Sunflower, Canola), Salt","Potatoes, Vegetable Oil, Salt",Yes,High in Sodium and Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, and Sodium",Baked Sweet Potato Fries,Baked sweet potato fries seasoned with herbs and spices,Yes,2,3,USA,6 months from production
Generic,Frozen Onion Rings,Appetizers,"Onion Rings, Breading (Flour, Cornstarch, Spices), Vegetable Oil","Onions, Flour, Cornstarch, Spices, Vegetable Oil",Yes,High in Sodium and Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Baked Onion Rings,Baking onion rings in the oven,Yes,2,5,USA,6 months from production
Generic,Frozen Mozzarella Sticks,Appetizers,"Mozzarella Cheese, Breading (Flour, Cornstarch, Spices), Vegetable Oil","Mozzarella Cheese, Flour, Cornstarch, Spices, Vegetable Oil",Yes,High in Sodium and Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Baked Mozzarella Sticks,Baking mozzarella sticks in the oven,Yes,2,5,USA,6 months from production
Generic,Frozen Chicken Wings,Meat,"Chicken Wings, Spices","Chicken, Spices",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Protein, Fat",Baked Chicken Wings,Baking chicken wings in the oven with herbs and spices,Yes,1,2,USA,3 months from production
Generic,Frozen Chicken Breast,Meat,Chicken Breast,Chicken,No,Not Applicable,Not Applicable,Yes,Yes,Yes,High in Protein,Grilled Chicken Breast,Grilling or baking chicken breasts,Yes,0,1,USA,3 months from production
Generic,Frozen Ground Beef,Meat,Ground Beef,Beef,No,Not Applicable,Not Applicable,No,Yes,No,"High in Protein, Fat",Lean Ground Beef,Choosing lean ground beef,Yes,0,1,USA,3 months from production
Generic,Frozen Pork Chops,Meat,Pork Chops,Pork,No,Not Applicable,Not Applicable,No,Yes,No,"High in Protein, Fat",Grilled Pork Chops,Grilling or baking pork chops,Yes,0,1,USA,3 months from production
Generic,Frozen Salmon Fillets,Seafood,Salmon Fillets,Salmon,No,Not Applicable,Not Applicable,Yes,Yes,Yes,"High in Protein, OmegaNot Applicable3s",Grilled Salmon,Grilling or baking salmon fillets,Yes,0,1,USA,3 months from production
Generic,Frozen Shrimp,Seafood,Shrimp,Shrimp,No,Not Applicable,Not Applicable,Yes,Yes,Yes,High in Protein,Grilled Shrimp,Grilling or sautéing shrimp,Yes,0,1,USA,3 months from production
Generic,Frozen Tuna Steaks,Seafood,Tuna Steaks,Tuna,No,Not Applicable,Not Applicable,Yes,Yes,Yes,"High in Protein, OmegaNot Applicable3s",Grilled Tuna,Grilling or baking tuna steaks,Yes,0,1,USA,3 months from production
Generic,Frozen Crab Cakes,Seafood,"Crab Meat, Breadcrumbs, Spices","Crab Meat, Breadcrumbs, Spices",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,High in Protein,Baked Crab Cakes,Baking crab cakes in the oven,Yes,1,3,USA,3 months from production
Generic,Frozen Fish Sticks,Seafood,"Fish (Cod, Haddock), Breadcrumbs, Spices","Seafood, Grains, Spices",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Protein, OmegaNot Applicable3s",Grilled Fish,Grilling or baking fish fillets seasoned with herbs,Yes,1,3,USA,3 months from production
Generic,Frozen Fish Fillets,Seafood,"Fish (Cod, Haddock), Breading","Seafood, Grains",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Protein, OmegaNot Applicable3s",Grilled Fish,Grilling or baking fish fillets seasoned with herbs,Yes,1,2,USA,3 months from production
Generic,Frozen Meatballs,Meat,"Ground Meat (Beef, Pork), Breadcrumbs, Spices","Meat, Breadcrumbs, Spices",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,High in Protein,Baked Meatballs,Baking meatballs in the oven,Yes,1,3,USA,3 months from production
Generic,Frozen Sausage Links,Meat,"Pork Sausage, Spices","Pork, Spices",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Protein, Fat",Grilled Sausage,Grilling sausage links,Yes,1,2,USA,3 months from production
Generic,Frozen Waffles,Breakfast,"Enriched Flour, Water, Eggs, Sugar, Vegetable Oil, Salt","Flour, Water, Eggs, Sugar, Vegetable Oil, Salt",Yes,"High in Sugar, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sugar, Fat",Whole Wheat Waffles,Making whole wheat waffles with less sugar,Yes,2,6,USA,6 months from production
Generic,Frozen Pancakes,Breakfast,"Enriched Flour, Water, Eggs, Sugar, Vegetable Oil, Salt","Flour, Water, Eggs, Sugar, Vegetable Oil, Salt",Yes,"High in Sugar, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sugar, Fat",Whole Wheat Pancakes,Making whole wheat pancakes with less sugar,Yes,2,6,USA,6 months from production
Generic,Frozen Hash Browns,Breakfast,"Potatoes, Vegetable Oil, Salt","Potatoes, Vegetable Oil, Salt",Yes,"High in Sodium, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Baked Hash Browns,Baking hash browns in the oven,Yes,2,3,USA,6 months from production
Generic,Frozen Omelets,Breakfast,"Eggs, Cheese, Vegetables (Onions, Peppers, Spinach), Milk","Eggs, Cheese, Vegetables, Milk",Yes,"High in Sodium, Fat, Cholesterol",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Cholesterol, Protein",Scrambled Eggs,Making scrambled eggs with vegetables and lowNot Applicablefat cheese,Yes,1,5,USA,3 months from production
Generic,Frozen French Toast,Breakfast,"Bread, Eggs, Milk, Sugar, Cinnamon","Bread, Eggs, Milk, Sugar, Cinnamon",Yes,"High in Sugar, Fat, Cholesterol",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sugar, Fat",Whole Wheat Toast,Toasting whole wheat bread with fruit toppings,Yes,3,5,USA,3 months from production
Generic,Frozen Waffles,Breakfast,"Enriched Flour, Water, Eggs, Sugar, Vegetable Oil, Salt","Flour, Water, Eggs, Sugar, Vegetable Oil, Salt",Yes,"High in Sugar, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sugar, Fat",Whole Wheat Waffles,Making whole wheat waffles with less sugar,Yes,2,6,USA,6 months from production
Generic,Frozen Pancakes,Breakfast,"Enriched Flour, Water, Eggs, Sugar, Vegetable Oil, Salt","Flour, Water, Eggs, Sugar, Vegetable Oil, Salt",Yes,"High in Sugar, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sugar, Fat",Whole Wheat Pancakes,Making whole wheat pancakes with less sugar,Yes,2,6,USA,6 months from production
Generic,Frozen Hash Browns,Breakfast,"Potatoes, Vegetable Oil, Salt","Potatoes, Vegetable Oil, Salt",Yes,"High in Sodium, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Baked Hash Browns,Baking hash browns in the oven,Yes,2,3,USA,6 months from production
Generic,Frozen Omelets,Breakfast,"Eggs, Cheese, Vegetables (Onions, Peppers, Spinach), Milk","Eggs, Cheese, Vegetables, Milk",Yes,"High in Sodium, Fat, Cholesterol",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Cholesterol, Protein",Scrambled Eggs,Making scrambled eggs with vegetables and lowNot Applicablefat cheese,Yes,1,5,USA,3 months from production
Generic,Frozen French Toast,Breakfast,"Bread, Eggs, Milk, Sugar, Cinnamon","Bread, Eggs, Milk, Sugar, Cinnamon",Yes,"High in Sugar, Fat, Cholesterol",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sugar, Fat",Whole Wheat Toast,Toasting whole wheat bread with fruit toppings,Yes,3,5,USA,3 months from production
Generic,Frozen Pizza Margherita,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Garlic, Basil), Mozzarella Cheese, Olive Oil, Salt","Flour, Water, Tomato Sauce, Mozzarella Cheese, Olive Oil, Salt",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and simple toppings",Yes,1,9,USA,3 months from production
Generic,Frozen Pizza Pepperoni,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Garlic, Basil), Mozzarella Cheese, Pepperoni, Salt","Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and limited pepperoni",Yes,3,8,USA,3 months from production
Generic,Frozen Pizza Supreme,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Garlic, Basil), Mozzarella Cheese, Pepperoni, Sausage, Mushrooms, Onions, Green Peppers, Salt","Flour, Water, Tomato Sauce, Mozzarella Cheese, Meat, Vegetables, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and a variety of vegetables",Yes,3,12,USA,3 months from production
Generic,Frozen Veggie Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Garlic, Basil), Mozzarella Cheese, Vegetables (Onions, Mushrooms, Peppers, Spinach), Salt","Flour, Water, Tomato Sauce, Mozzarella Cheese, Vegetables, Salt",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and a variety of vegetables",Yes,1,9,USA,3 months from production
Generic,Frozen Chicken Alfredo,Pasta,"Rotini Pasta, Alfredo Sauce (Cream, Butter, Parmesan Cheese), Chicken, Salt","Pasta, Cream, Butter, Parmesan Cheese, Chicken, Salt",Yes,"High in Sodium, Fat, Saturated Fat, Cholesterol",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Homemade Alfredo,"Making alfredo sauce with lowNot Applicablefat milk, reducedNot Applicablefat cheese, and lean chicken",Yes,3,6,USA,3 months from production
Generic,Frozen Chicken Parmesan,Pasta,"Rotini Pasta, Tomato Sauce (Tomatoes, Tomato Paste, Garlic, Basil), Breaded Chicken, Mozzarella Cheese, Parmesan Cheese, Salt","Pasta, Tomato Sauce, Breaded Chicken, Mozzarella Cheese, Parmesan Cheese, Salt",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Baked Chicken Parmesan,"Using skinless, boneless chicken breasts, lowNot Applicablesodium tomato sauce, and partNot Applicableskim mozzarella cheese",Yes,1,8,USA,3 months from production
Generic,Frozen Lasagna,Pasta,"Lasagna Noodles, Tomato Sauce (Tomatoes, Tomato Paste, Garlic, Basil), Ricotta Cheese, Mozzarella Cheese, Ground Beef, Salt","Pasta, Tomato Sauce, Ricotta Cheese, Mozzarella Cheese, Ground Beef, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Lasagna,"Using whole wheat pasta, lowNot Applicablefat cheese, lean ground beef, and plenty of vegetables",Yes,3,8,USA,3 months from production
Generic,Frozen Ravioli,Pasta,"Ravioli (Ricotta Cheese, Spinach), Tomato Sauce (Tomatoes, Tomato Paste, Garlic, Basil), Salt","Pasta, Ricotta Cheese, Spinach, Tomato Sauce, Salt",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Homemade Ravioli,Making ravioli with whole wheat pasta and lowNot Applicablefat cheese,Yes,1,5,USA,6 months from production
Generic,Frozen Mac & Cheese,Pasta,"Macaroni, Cheese Sauce (Milk, Cheese, Butter, Flour), Salt","Pasta, Milk, Cheese, Butter, Flour, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Homemade Mac & Cheese,"Using whole wheat pasta, lowNot Applicablefat milk, and reducedNot Applicablefat cheese",Yes,3,6,USA,6 months from production
Generic,Frozen Mashed Potatoes,Sides,"Potatoes, Milk, Butter, Salt","Potatoes, Milk, Butter, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Mashed Sweet Potatoes,Making mashed sweet potatoes with a touch of milk and a sprinkle of salt,Yes,3,4,USA,6 months from production
Generic,Frozen Broccoli Florets,Vegetables,"Broccoli Florets, Water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Vitamin C, Vitamin K",Fresh Broccoli,Steaming or roasting fresh broccoli florets,Yes,0,2,USA,1 year from production
McCain,Potato Bites,Frozen Appetizers,"Potato Bites (Potatoes, Sunflower Oil, Seasoning Blend (Salt, Onion Powder, Garlic Powder))","Potatoes, Vegetable Oil, Spices",Yes,"High in Sodium, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Baked Potato Wedges,Baking potato wedges in the oven,Yes,2,3,Canada,6 months from production
McCain,Steamed Broccoli Florets,Frozen Vegetables,Steamed Broccoli Florets (Broccoli),Vegetables,No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Vitamin C, Vitamin K",Fresh Broccoli,Steaming or roasting fresh broccoli florets,Yes,0,1,Canada,1 year from production
McCain,Crispy Onion Rings,Frozen Appetizers,"Crispy Onion Rings (Onion, Breading (Wheat Flour, Cornstarch, Vegetable Oil))","Onions, Flour, Cornstarch, Vegetable Oil",Yes,"High in Sodium, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Baked Onion Rings,Baking onion rings in the oven,Yes,2,4,Canada,6 months from production
McCain,Fish Fillets,Frozen Main Courses,"Fish Fillets (White Fish, Breading (Wheat Flour, Cornstarch, Vegetable Oil))","Seafood, Flour, Cornstarch, Vegetable Oil",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Protein, OmegaNot Applicable3s",Grilled Fish,Grilling or baking fish fillets seasoned with herbs,Yes,1,4,Canada,3 months from production
McCain,Mozzarella Sticks,Frozen Appetizers,"Mozzarella Sticks (Mozzarella Cheese, Breading (Wheat Flour, Cornstarch, Vegetable Oil))","Dairy, Flour, Cornstarch, Vegetable Oil",Yes,"High in Sodium, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Baked Mozzarella Sticks,Baking mozzarella sticks in the oven,Yes,2,4,Canada,6 months from production
McCain,Sweet Potato Fries,Frozen Vegetables,"Sweet Potato Fries (Sweet Potatoes, Sunflower Oil)","Vegetables, Vegetable Oil",Yes,High in Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat",Baked Sweet Potato Fries,Baking sweet potato fries with herbs and spices,Yes,1,2,Canada,6 months from production
McCain,Garlic Bread,Frozen Appetizers,"Garlic Bread (Bread (Wheat Flour, Yeast, Salt), Garlic, Butter)","Grains, Yeast, Salt, Garlic, Dairy",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Whole Wheat Garlic Bread,Using whole wheat bread and reducedNot Applicablefat butter,Yes,3,5,Canada,3 months from production
Birds Eye,Mixed Vegetables,Frozen Vegetables,"Mixed Vegetables (Broccoli, Carrots, Peas, Green Beans)",Vegetables,No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Vitamins, Minerals, Fiber",Fresh Mixed Vegetables,Steaming or stirNot Applicablefrying fresh mixed vegetables,Yes,0,1,USA,1 year from production
Birds Eye,Potato Wedges,Frozen Appetizers,"Potato Wedges (Potatoes, Sunflower Oil, Seasoning Blend (Salt, Onion Powder, Paprika))","Potatoes, Vegetable Oil, Spices",Yes,"High in Sodium, Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Baked Potato Wedges,Baking potato wedges in the oven,Yes,2,3,USA,6 months from production
McCain,Chicken Nuggets,Frozen Appetizers,"Chicken Nuggets (Chicken Breast, Breading (Wheat Flour, Cornstarch), Vegetable Oil)","Meat, Grains, Vegetable Oil",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Protein, Fat",Baked Chicken Nuggets,Baking chicken nuggets in the oven,Yes,1,3,Canada,3 months from production
Birds Eye,Mixed Vegetables,Frozen Vegetables,"Mixed Vegetables (Broccoli, Carrots, Peas, Green Beans)",Vegetables,No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Vitamins, Minerals, Fiber",Fresh Mixed Vegetables,Steaming or stirNot Applicablefrying fresh mixed vegetables,Yes,0,1,USA,1 year from production
